candidate,method,beta,window,trajectory_accuracy,trajectory_macro_f1,trajectory_top5_accuracy,trajectory_mrr,trajectory_mean_true_rank,branch_accuracy,branch_macro_f1,branch_top5_accuracy,branch_mrr,branch_mean_true_rank,fusion_accuracy,fusion_macro_f1,fusion_top5_accuracy,fusion_mrr,fusion_mean_true_rank
RAY_DISTANCE_BETA0.10,RAY_DISTANCE,0.1,NEAR,0.21772277227722772,0.21157962119523765,0.5004950495049505,0.35805893923989546,10.91920792079208,0.6738613861386139,0.658316278289985,0.9212871287128713,0.7819357166462293,2.879207920792079,0.7828712871287129,0.7746557280081386,0.9481188118811881,0.8563150465476504,2.18
RAY_DISTANCE_BETA0.10,RAY_DISTANCE,0.1,MID,0.20178786661309764,0.19771130791754316,0.4766974688629972,0.3376978683028371,12.3048413017276,0.5703093611892326,0.5426930114028063,0.8551627159501808,0.6956822196714557,4.976998794696665,0.6683406990759341,0.6369675741011045,0.8675170751305745,0.7599504036748986,4.331659300924066
RAY_DISTANCE_BETA0.10,RAY_DISTANCE,0.1,FAR,0.20091231626964015,0.19635008567836365,0.4758236188545362,0.33794040057103564,12.248352762290928,0.5386720729853016,0.5115791706464322,0.8253421186011151,0.6670042422783643,5.27339077546883,0.6434870755195135,0.6112826322046603,0.8498732894069945,0.7392217397615759,4.542219969589458
RAY_DISTANCE_BETA0.25,RAY_DISTANCE,0.25,NEAR,0.21772277227722772,0.21157962119523765,0.5004950495049505,0.35805893923989546,10.91920792079208,0.6722772277227723,0.6581641174488784,0.9213861386138614,0.7809379855939803,2.8813861386138613,0.7825742574257426,0.774542903252497,0.9491089108910891,0.8564247070034541,2.1547524752475247
RAY_DISTANCE_BETA0.25,RAY_DISTANCE,0.25,MID,0.20178786661309764,0.19771130791754316,0.4766974688629972,0.3376978683028371,12.3048413017276,0.5728204098031338,0.5466199664559037,0.8551627159501808,0.6967877292686214,4.972679791080755,0.6667336279630374,0.6356168102985361,0.8659100040176778,0.7590000540767836,4.327541181197268
RAY_DISTANCE_BETA0.25,RAY_DISTANCE,0.25,FAR,0.20091231626964015,0.19635008567836365,0.4758236188545362,0.33794040057103564,12.248352762290928,0.5368474404460213,0.5108468476888542,0.8244298023314749,0.665925106608051,5.275012671059301,0.6442980233147491,0.6117180686959923,0.8507856056766345,0.73976124999388,4.539888494678155
RAY_DISTANCE_BETA0.40,RAY_DISTANCE,0.4,NEAR,0.21772277227722772,0.21157962119523765,0.5004950495049505,0.35805893923989546,10.91920792079208,0.6688118811881189,0.6548501489794546,0.920990099009901,0.7786893046525787,2.887920792079208,0.7801980198019802,0.7722783326287218,0.9498019801980198,0.8555793055141961,2.1403960396039605
RAY_DISTANCE_BETA0.40,RAY_DISTANCE,0.4,MID,0.20178786661309764,0.19771130791754316,0.4766974688629972,0.3376978683028371,12.3048413017276,0.5696062675773403,0.5438574681778834,0.8551627159501808,0.6950338615194229,4.970670952189634,0.6661309762957011,0.6351307897311664,0.8637002812374448,0.7583153757015649,4.308155885897951
RAY_DISTANCE_BETA0.40,RAY_DISTANCE,0.4,FAR,0.20091231626964015,0.19635008567836365,0.4758236188545362,0.33794040057103564,12.248352762290928,0.5359351241763811,0.5104957334105494,0.8234161175874303,0.6650346984223687,5.281702990369995,0.6429802331474911,0.6105140854780292,0.8516979219462747,0.7392834231326066,4.526305119107957
RAY_DIRECTIONAL_BETA0.10,RAY_DIRECTIONAL,0.1,NEAR,0.16287128712871288,0.1644735840888443,0.49237623762376237,0.3230507820164928,11.55920792079208,0.6736633663366337,0.6579800635004748,0.9215841584158416,0.7819027137146081,2.880891089108911,0.7827722772277228,0.774500328102633,0.9479207920792079,0.8562892388876072,2.1797029702970296
