origin,window,delta_ltd_accuracy,delta_ltd_macro_f1,delta_ltd_top5_accuracy,delta_ltd_mrr,delta_fusion_accuracy,delta_fusion_macro_f1,delta_fusion_top5_accuracy,delta_fusion_mrr
ORIGIN14,NEAR,-0.02306930693069309,-0.022068843769389224,-0.0012871287128712883,-0.01375833360048273,-0.004752475247524757,-0.004609223749650226,0.0026732673267326756,-0.0025364308997327667
ORIGIN14,MID,-0.023202089192446818,-0.023886441322342633,-0.01727601446364002,-0.01895481936484289,-0.005323423061470489,-0.005884963832865631,-0.006327842507031001,-0.0051240065661251055
ORIGIN14,FAR,-0.019868220983274232,-0.02066122738577514,-0.008312214901165738,-0.014431758132700034,-0.0021287379624936875,-0.0024128691316591677,-0.003446528129751658,-0.002545882510846975
ORIGIN28,NEAR,-0.05474085978304544,-0.05744554325839846,-0.012454801124949788,-0.03651510227660726,-0.007734029730815606,-0.008344865373492216,-0.0035154680594615684,-0.0060080376825892845
ORIGIN28,MID,-0.03936233024995084,-0.043512796320349434,-0.023518992324345622,-0.030611998754718095,-0.009446959259988175,-0.010549226194448758,-0.009446959259988175,-0.007700240191039542
ORIGIN28,FAR,-0.04388194981761906,-0.046003568135309925,-0.01812755609594341,-0.0315848290780284,-0.006853100475295637,-0.006882166483739072,-0.0056372278103239415,-0.004875789937098918
