origin,memory,window,n_train,n_test,history_frozen,xgb_accuracy,xgb_macro_f1,xgb_top5_accuracy,xgb_mrr,xgb_mean_true_rank,ltd_accuracy,ltd_macro_f1,ltd_top5_accuracy,ltd_mrr,ltd_mean_true_rank,fusion_accuracy,fusion_macro_f1,fusion_top5_accuracy,fusion_mrr,fusion_mean_true_rank
ORIGIN14,RECENT5_SEQUENCE,NEAR,19098,10100,True,0.7714851485148515,0.7675907309033916,0.9537623762376237,0.8505250028094696,2.0917821782178216,0.6730693069306931,0.6564588921105544,0.9215841584158416,0.7813516628318452,2.882178217821782,0.7825742574257426,0.7741924447444715,0.9474257425742574,0.8559660653127333,2.1963366336633663
ORIGIN14,RECENT5_SEQUENCE,MID,19098,9956,True,0.6560867818400964,0.6285473606369535,0.8725391723583769,0.7529931217724374,4.12525110486139,0.569003615910004,0.5399899025322398,0.8552631578947368,0.694918097142373,4.959823222177581,0.6693451185214946,0.6381431814136124,0.868521494576135,0.760807026618622,4.310666934511852
ORIGIN14,RECENT5_SEQUENCE,FAR,19098,9865,True,0.6380131779016726,0.6111601112819601,0.8614292954891029,0.7371509035644207,4.504308160162189,0.5391789153573239,0.5110879997922403,0.8253421186011151,0.667220105272882,5.2616320324379116,0.6438925494171313,0.6117164271485175,0.8503801317790167,0.7394638517804328,4.52022301064369
ORIGIN14,MULTISCALE5,NEAR,19098,10100,True,0.7714851485148515,0.7675907309033916,0.9537623762376237,0.8505250028094696,2.0917821782178216,0.6812871287128713,0.6722047274438502,0.9247524752475248,0.7875310925719079,2.8605940594059405,0.7816831683168317,0.7755090498609635,0.9494059405940594,0.855925601801384,2.2063366336633665
ORIGIN14,MULTISCALE5,MID,19098,9956,True,0.6560867818400964,0.6285473606369535,0.8725391723583769,0.7529931217724374,4.12525110486139,0.5730212936922459,0.5523856314199235,0.8508437123342708,0.6973319458566333,5.0501205303334675,0.670048212133387,0.6410299709654224,0.8653073523503415,0.760624468951098,4.37193652069104
ORIGIN14,MULTISCALE5,FAR,19098,9865,True,0.6380131779016726,0.6111601112819601,0.8614292954891029,0.7371509035644207,4.504308160162189,0.5426254434870755,0.5204380411527434,0.827977698935631,0.6699477490469825,5.3571211353269135,0.6450076026355803,0.6145858366488464,0.8498732894069945,0.7397809599433488,4.576989356310188
ORIGIN28,RECENT5_SEQUENCE,NEAR,39258,9956,True,0.778023302531137,0.7642483227884096,0.9592205705102451,0.8562136490177207,1.6793893129770991,0.7266974688629972,0.7104353806569518,0.9607271996785858,0.8264177988169216,1.7774206508638006,0.808155885897951,0.7936029943984352,0.9748895138609883,0.8789755447518937,1.4900562474889514
ORIGIN28,RECENT5_SEQUENCE,MID,39258,10162,True,0.7540838417634323,0.7373528027746289,0.9419405628813226,0.8343701461737701,1.866364888801417,0.6937610706553828,0.6748047699599979,0.951190710490061,0.8017596455618999,1.8582956111001772,0.7821295020665223,0.7645315673840202,0.9629010037394213,0.8574828738503786,1.629600472347963
ORIGIN28,RECENT5_SEQUENCE,FAR,39258,9047,True,0.7608046866364541,0.7468352077078027,0.9450646623190008,0.8404231186909646,1.8560848900187907,0.669614236763568,0.6479322523756667,0.9316900630043108,0.7812902591232259,2.0399027301868022,0.7759478280092849,0.7601339985263615,0.9565601856969161,0.8522449213538774,1.6786780148115397
ORIGIN28,MULTISCALE5,NEAR,39258,9956,True,0.778023302531137,0.7642483227884096,0.9592205705102451,0.8562136490177207,1.6793893129770991,0.735034150261149,0.7194110422007007,0.9594214543993572,0.8305754853847647,1.7904781036560868,0.8068501406187224,0.7904294056307409,0.9722780233025311,0.8773180710533112,1.5126556850140618
ORIGIN28,MULTISCALE5,MID,39258,10162,True,0.7540838417634323,0.7373528027746289,0.9419405628813226,0.8343701461737701,1.866364888801417,0.7027160007872466,0.6838795745506053,0.9468608541625664,0.8053319726160071,1.8797480810864002,0.7804566030308995,0.7618347387451768,0.9596536114938005,0.8557786111688815,1.6546939578823066
ORIGIN28,MULTISCALE5,FAR,39258,9047,True,0.7608046866364541,0.7468352077078027,0.9450646623190008,0.8404231186909646,1.8560848900187907,0.6888471316458494,0.6679325656110999,0.9300320548248038,0.7928438681943688,1.987288603957113,0.7799270476401017,0.763941757322013,0.9540179064883387,0.8542743327915062,1.6950370288493424
