origin,window,date,day_in_window,policy,n_queries,accepted_before_site_support,accepted_final,accepted_fraction,sites_updated,mean_confidence_accepted,mean_margin_accepted,pseudo_label_precision_DIAGNOSTIC_ONLY,correct_pseudo_labels_DIAGNOSTIC_ONLY,history_rows_before_update
ORIGIN28,MID,2025-12-26,4,CONSENSUS_ONLY,1434,990,984,0.6861924686192469,60,0.878363595782455,0.8130683255380496,0.907520325203252,893,1989
ORIGIN28,MID,2025-12-27,5,CONSENSUS_ONLY,1439,1005,1000,0.6949270326615705,60,0.873528799635728,0.8068664971369683,0.891,891,2049
ORIGIN28,MID,2025-12-28,6,CONSENSUS_ONLY,1455,1006,996,0.6845360824742268,59,0.8871495308929832,0.8242498353754548,0.8975903614457831,894,2109
ORIGIN28,MID,2025-12-29,7,CONSENSUS_ONLY,1460,956,949,0.65,60,0.8866965776806119,0.8238159384932409,0.8914646996838778,846,2168
ORIGIN28,FAR,2026-01-02,1,CONSENSUS_ONLY,1410,989,984,0.6978723404255319,60,0.8732947612204732,0.8041413454417916,0.891260162601626,877,1808
ORIGIN28,FAR,2026-01-03,2,CONSENSUS_ONLY,1403,964,959,0.6835352815395581,60,0.8808103101236668,0.8169867668579905,0.8925964546402503,856,1868
ORIGIN28,FAR,2026-01-04,3,CONSENSUS_ONLY,1424,973,968,0.6797752808988764,59,0.8664050852166122,0.7988093727380359,0.890495867768595,862,1928
ORIGIN28,FAR,2026-01-05,4,CONSENSUS_ONLY,1448,1003,1002,0.6919889502762431,61,0.868934199069677,0.7976541514197167,0.8962075848303394,898,1987
ORIGIN28,FAR,2026-01-06,5,CONSENSUS_ONLY,1430,975,972,0.6797202797202797,60,0.8616878182047157,0.7859974237527046,0.8858024691358025,861,2048
ORIGIN28,FAR,2026-01-07,6,CONSENSUS_ONLY,1440,930,924,0.6416666666666667,59,0.8636564174604453,0.7931860010269496,0.9004329004329005,832,2108
ORIGIN28,FAR,2026-01-08,7,CONSENSUS_ONLY,492,328,315,0.6402439024390244,51,0.8686418253043051,0.7990716705488174,0.8952380952380953,282,2167
