subset,feature_count,worst_macro_f1,mean_macro_f1,near_macro_f1,mid_macro_f1,far_macro_f1,far_accuracy,far_top5,far_mrr,selected_stable_candidate,baseline
BASE128,128,0.6111601112819601,0.6690994009407684,0.7675907309033916,0.6285473606369535,0.6111601112819601,0.6380131779016726,0.8614292954891029,0.7371509035644207,False,True
STABLE_TOP128,128,0.531011045805541,0.5801762663518474,0.6771164468308664,0.531011045805541,0.5324013064191346,0.5509376583882413,0.8325392802838317,0.6725843272015083,True,False
STABLE_TOP32,32,0.449272149942367,0.49375547899083716,0.5764995826014861,0.4554947044286582,0.449272149942367,0.4663963507349214,0.8044602128737962,0.6123839383713037,False,False
STABLE_TOP64,64,0.46969003448627616,0.5163616513464989,0.6032228445230942,0.47617207503012615,0.46969003448627616,0.48606183476938675,0.8119614799797263,0.6268183479150408,False,False
STABLE_TOP96,96,0.5008822699103257,0.5480978994667831,0.6375575360213087,0.5058538924687149,0.5008822699103257,0.5162696401419159,0.825544855549924,0.6491246293400654,False,False
